from_district,to_district,distance_km_estimated
KOPPAL,CHITRADURGA,127.83
KOPPAL,DAKSHIN KANNAD,304.96
KOPPAL,DAVANGERE,101.65
KOPPAL,DHARWAD,123.56
KOPPAL,GADAG,58.02
KOPPAL,HASSAN,260.66
KOPPAL,HAVERI,101.62
KOPPAL,KALABURAGI,231.25
KOPPAL,KODAGU,328.46
KOPPAL,KOLAR,325.44
KOPPAL,KOPPAL,0.0
KOPPAL,MANDYA,324.51
KOPPAL,MYSURU,343.66
KOPPAL,RAICHUR,159.26
KOPPAL,RAMANAGARA,317.19
KOPPAL,SHIVAMOGGA,170.1
KOPPAL,TUMAKURU,246.63
KOPPAL,UDUPI,270.35
KOPPAL,UTTAR KANNAD,225.94
KOPPAL,VIJAYAPURA,171.27
KOPPAL,YADGIR,189.23
KOPPAL,VIJAYANAGAR,26.88
MANDYA,BAGALKOT,427.0
MANDYA,BALLARI,291.08
MANDYA,BELAGAVI,451.34
MANDYA,BENGALURU (RURAL),115.77
MANDYA,BENGALURU (URBAN),90.87
MANDYA,BIDAR,602.92
MANDYA,CHAMARAJNAGAR,66.92
MANDYA,CHIKBALLAPUR,136.15
MANDYA,CHIKKAMAGALURU,150.39
MANDYA,CHITRADURGA,196.88
MANDYA,DAKSHIN KANNAD,225.43
MANDYA,DAVANGERE,240.28
MANDYA,DHARWAD,384.86
MANDYA,GADAG,351.42
MANDYA,HASSAN,101.67
MANDYA,HAVERI,299.63
MANDYA,KALABURAGI,534.67
MANDYA,KODAGU,126.07
MANDYA,KOLAR,150.24
MANDYA,KOPPAL,324.51
MANDYA,MANDYA,0.0
MANDYA,MYSURU,37.45
MANDYA,RAICHUR,413.17
MANDYA,RAMANAGARA,47.19
MANDYA,SHIVAMOGGA,212.48
MANDYA,TUMAKURU,93.89
MANDYA,UDUPI,250.47
MANDYA,UTTAR KANNAD,391.88
MANDYA,VIJAYAPURA,495.73
MANDYA,YADGIR,472.63
MANDYA,VIJAYANAGAR,310.27
MYSURU,BAGALKOT,443.96
MYSURU,BALLARI,317.66
MYSURU,BELAGAVI,457.72
MYSURU,BENGALURU (RURAL),153.21
MYSURU,BENGALURU (URBAN),128.02
MYSURU,BIDAR,631.42
MYSURU,CHAMARAJNAGAR,53.11
MYSURU,CHIKBALLAPUR,173.42
MYSURU,CHIKKAMAGALURU,147.37
MYSURU,CHITRADURGA,216.11
MYSURU,DAKSHIN KANNAD,205.37
MYSURU,DAVANGERE,253.32
MYSURU,DHARWAD,393.34
MYSURU,GADAG,365.47
